"date","logret"
2000-11-02,0.01633827
2000-11-03,-0.00382049
2000-11-06,0.01519515
2000-11-07,-0.00094277
2000-11-08,0.01218951
2000-11-09,-0.00842298
2000-11-10,-0.01324538
2000-11-13,-0.01245818
2000-11-14,0.00480987
2000-11-15,0.00287478
2000-11-16,-0.00383475
2000-11-17,0.00574721
2000-11-20,-0.00095577
2000-11-21,0.00666975
2000-11-22,-0.01242247
2000-11-24,0.0028803
2000-11-27,-0.00095905
2000-11-28,-0.00192125
2000-11-29,0.00192125
2000-11-30,-0.00577448
2000-12-01,0.00864926
2000-12-04,0.00477353
2000-12-05,0
2000-12-06,-0.00286107
2000-12-07,-0.00574721
2000-12-08,0.01808713
2000-12-11,-0.01138545
2000-12-12,-0.00958791
2000-12-13,0.00958791
2000-12-14,-0.00862478
2000-12-15,-0.02633025
2000-12-18,0.0117877
2000-12-19,0
2000-12-20,-0.01574814
2000-12-21,-0.00497252
2000-12-22,0.0029864
2000-12-26,0.00989139
2000-12-27,0.02622754
2000-12-28,0.03497998
2000-12-29,-0.01217057
2001-01-02,-0.01335398
2001-01-03,0.00618522
2001-01-04,-0.02076898
2001-01-05,0.00209657
2001-01-08,0.00937998
2001-01-09,0.00929243
2001-01-10,0.01124197
2001-01-11,-0.00918807
2001-01-12,0.00918807
2001-01-16,0.00809736
2001-01-17,-0.0101317
2001-01-18,0.01616188
2001-01-19,-0.00502275
2001-01-22,0.00502275
2001-01-23,0.00798422
2001-01-24,-0.00498271
2001-01-25,0.00498271
2001-01-26,-0.00498271
2001-01-29,0.00696856
2001-01-30,0.00198229
2001-01-31,-0.00795247
2001-02-01,0.00993047
2001-02-02,-0.00495272
2001-02-05,0.00495272
2001-02-06,0.0009879
2001-02-07,0.00590518
2001-02-08,0.00879344
2001-02-09,0.00291405
2001-02-12,0.00676684
2001-02-13,-0.00289401
2001-02-14,-0.00581434
2001-02-15,0.00581434
2001-02-16,-0.00290313
2001-02-20,0.00483339
2001-02-21,-0.00193027
2001-02-22,-0.00581434
2001-02-23,-0.0366196
2001-02-26,0.01301962
2001-02-27,0.00298064
2001-02-28,0.00396029
2001-03-01,-0.001978
2001-03-02,0.01181119
2001-03-05,0
2001-03-06,0.00097788
2001-03-07,0.0039027
